Genes,Well,Test.ct,Control.ct,Test.ct2,Control.ct2,FoldChange,p.value,FoldRegulation,Group
ABL1,A01,4.358308154,4.06E+00,4.88E-02,0.06007311,0.811593199,0.603864,-1.232144381,VA1vsMock_24hpi
AKT1,A02,3.342627247,2.19E+00,9.86E-02,0.218796813,0.450534385,0.106771,-2.219586415,VA1vsMock_24hpi
APAF1,A03,5.537809703,5.37E+00,2.15E-02,0.024246877,0.887763658,0.171313,-1.126425926,VA1vsMock_24hpi
APP,A04,1.382984467,1.40E-01,3.83E-01,0.90741674,0.422545426,0.007556,-2.366609453,VA1vsMock_24hpi
ATG12,A05,4.004608694,2.41E+00,6.23E-02,0.18844835,0.330598077,0.135155,-3.024820978,VA1vsMock_24hpi
ATG16L1,A06,2.262894245,3.14E+00,2.08E-01,0.113237717,1.839966229,0.381919,1.839966229,VA1vsMock_24hpi
ATG3,A07,3.654762968,3.86E+00,7.94E-02,0.068648023,1.156588013,0.788267,1.156588013,VA1vsMock_24hpi
ATG5,A08,4.020687608,3.24E+00,6.16E-02,0.105891091,0.581825839,0.024184,-1.718727379,VA1vsMock_24hpi
ATG7,A09,5.507719278,4.62E+00,2.20E-02,0.040757418,0.539267975,0.210643,-1.854365633,VA1vsMock_24hpi
ATP6V1G2,A10,4.697441859,3.36E+00,3.85E-02,0.097704321,0.394471221,0.009738,-2.535039177,VA1vsMock_24hpi
BAX,A11,2.422862545,1.83E+00,1.86E-01,0.280828809,0.664054983,0.356272,-1.5058994,VA1vsMock_24hpi
BCL2,A12,6.44158499,6.18E+00,1.15E-02,0.013804829,0.833409896,0.580902,-1.19988976,VA1vsMock_24hpi
BCL2A1,B01,8.46795853,7.35E+00,2.82E-03,0.006109038,0.462293386,0.123157,-2.163128501,VA1vsMock_24hpi
BCL2L1,B02,5.035046527,4.93E+00,3.05E-02,0.032806086,0.929705806,0.58754,-1.075609073,VA1vsMock_24hpi
BCL2L11,B03,7.695918319,5.95E+00,4.82E-03,0.016202617,0.297654581,0.284165,-3.359598893,VA1vsMock_24hpi
BECN1,B04,4.548714538,3.87E+00,4.27E-02,0.068244149,0.626087541,0.039383,-1.597220732,VA1vsMock_24hpi
BIRC2,B05,2.922393371,3.56E+00,1.32E-01,0.084811827,1.555304814,0.040908,1.555304814,VA1vsMock_24hpi
BIRC3,B06,6.319733172,7.65E+00,1.25E-02,0.004981856,2.512925457,0.098957,2.512925457,VA1vsMock_24hpi
BMF,B07,7.451943919,5.81E+00,5.71E-03,0.017790171,0.321041539,0.182535,-3.114861721,VA1vsMock_24hpi
C1orf159,B08,8.162363329,7.65E+00,3.49E-03,0.004981856,0.700636338,0.442436,-1.427273959,VA1vsMock_24hpi
CASP1,B09,4.616274217,7.16E+00,4.08E-02,0.00696976,5.849856027,0.12849,5.849856027,VA1vsMock_24hpi
CASP2,B10,5.085652301,3.50E+00,2.94E-02,0.08860628,0.332354533,0.001895,-3.008835148,VA1vsMock_24hpi
CASP3,B11,4.127077597,3.95E+00,5.72E-02,0.064604261,0.885859177,0.680893,-1.128847594,VA1vsMock_24hpi
CASP6,B12,5.446751728,4.49E+00,2.29E-02,0.044453916,0.51576792,0.081851,-1.93885653,VA1vsMock_24hpi
CASP7,C01,5.529465745,6.10E+00,2.17E-02,0.014609507,1.481935824,0.72179,1.481935824,VA1vsMock_24hpi
CASP9,C02,6.561786935,5.28E+00,1.06E-02,0.025790801,0.41043131,0.117643,-2.436461292,VA1vsMock_24hpi
CCDC103,C03,8.079095431,6.66E+00,3.70E-03,0.009911816,0.373075496,0.109219,-2.680422625,VA1vsMock_24hpi
CD40,C04,8.930273243,7.65E+00,2.05E-03,0.004981856,0.411461059,0.235063,-2.430363646,VA1vsMock_24hpi
CD40LG,C05,7.687003315,7.06E+00,4.85E-03,0.007483147,0.648480801,0.684491,-1.5420657,VA1vsMock_24hpi
CFLAR,C06,4.933576625,3.66E+00,3.27E-02,0.079237661,0.412965527,0.1155,-2.421509627,VA1vsMock_24hpi
COMMD4,C07,4.218690148,3.76E+00,5.37E-02,0.073828248,0.727486869,0.390066,-1.374595258,VA1vsMock_24hpi
CTSB,C08,3.58592928,2.95E+00,8.33E-02,0.129760776,0.641777208,0.11681,-1.558173129,VA1vsMock_24hpi
CTSS,C09,4.271552048,7.25E+00,5.18E-02,0.006574081,7.87588969,0.007866,7.87588969,VA1vsMock_24hpi
CYLD,C10,5.059140245,5.75E+00,3.00E-02,0.018581826,1.614204878,0.283709,1.614204878,VA1vsMock_24hpi
DEFB1,C11,8.930273243,7.58E+00,2.05E-03,0.005232572,0.391746083,0.191665,-2.552673895,VA1vsMock_24hpi
DENND4A,C12,5.510718141,4.52E+00,2.19E-02,0.043439311,0.504923539,0.181576,-1.980497881,VA1vsMock_24hpi
DFFA,D01,4.265099269,3.65E+00,5.20E-02,0.079820187,0.651575045,0.375886,-1.534742633,VA1vsMock_24hpi
DPYSL4,D02,4.202089414,3.15E+00,5.43E-02,0.112338337,0.483634254,0.306572,-2.067678191,VA1vsMock_24hpi
EIF5B,D03,3.544406007,3.04E+00,8.57E-02,0.121672261,0.70442684,0.008775,-1.419593836,VA1vsMock_24hpi
ESR1,D04,5.832301674,6.25E+00,1.76E-02,0.013104163,1.339346516,0.911594,1.339346516,VA1vsMock_24hpi
FAS,D05,4.364483644,5.46E+00,4.85E-02,0.022755771,2.133378681,0.179939,2.133378681,VA1vsMock_24hpi
FASLG,D06,7.928449727,7.65E+00,4.10E-03,0.004981856,0.823962921,0.869755,-1.213646845,VA1vsMock_24hpi
FOXI1,D07,8.930273243,7.65E+00,2.05E-03,0.004981856,0.411461059,0.235063,-2.430363646,VA1vsMock_24hpi
GAA,D08,6.311586639,2.78E+00,1.26E-02,0.146047391,0.086204373,0.414713,-11.60033952,VA1vsMock_24hpi
GADD45A,D09,6.55268525,7.14E+00,1.07E-02,0.007068672,1.506979548,0.227962,1.506979548,VA1vsMock_24hpi
GALNT5,D10,7.818159933,7.06E+00,4.43E-03,0.007485532,0.59193864,0.203706,-1.689364289,VA1vsMock_24hpi
GRB2,D11,4.893876382,4.07E+00,3.36E-02,0.059606128,0.564294092,0.03801,-1.772125588,VA1vsMock_24hpi
HSPBAP1,D12,6.594209006,5.02E+00,1.04E-02,0.030766946,0.336403809,0.151773,-2.972617944,VA1vsMock_24hpi
HTT,E01,4.979888657,3.69E+00,3.17E-02,0.077354253,0.409656587,0.1024,-2.441069011,VA1vsMock_24hpi
IFNG,E02,8.507690896,7.65E+00,2.75E-03,0.004981856,0.551491346,0.337214,-1.813265081,VA1vsMock_24hpi
IGF1,E03,8.802207106,7.65E+00,2.24E-03,0.004981856,0.449656099,0.26265,-2.223921797,VA1vsMock_24hpi
IGF1R,E04,4.33862505,3.48E+00,4.94E-02,0.089459999,0.552477801,0.050715,-1.810027475,VA1vsMock_24hpi
INS,E05,8.930273243,7.65E+00,2.05E-03,0.004981856,0.411461059,0.235063,-2.430363646,VA1vsMock_24hpi
IRGM,E06,8.930273243,7.65E+00,2.05E-03,0.004981856,0.411461059,0.235063,-2.430363646,VA1vsMock_24hpi
JPH3,E07,8.930273243,6.40E+00,2.05E-03,0.011836424,0.17318065,0.003338,-5.774317159,VA1vsMock_24hpi
KCNIP1,E08,8.535533671,6.87E+00,2.69E-03,0.008549936,0.315199449,0.054698,-3.172594382,VA1vsMock_24hpi
MAG,E09,6.26496444,7.07E+00,1.30E-02,0.007451069,1.745175893,0.351432,1.745175893,VA1vsMock_24hpi
MAP1LC3A,E10,4.774890125,3.95E+00,3.65E-02,0.064650228,0.564995232,0.135291,-1.769926441,VA1vsMock_24hpi
MAPK8,E11,3.97819141,2.73E+00,6.35E-02,0.15064129,0.421212285,0.034981,-2.374099794,VA1vsMock_24hpi
MCL1,E12,2.556704388,2.06E+00,1.70E-01,0.239126785,0.710766686,0.148334,-1.406931445,VA1vsMock_24hpi
NFKB1,F01,5.935672093,7.18E+00,1.63E-02,0.006890545,2.370997371,0.149406,2.370997371,VA1vsMock_24hpi
NOL3,F02,5.673820516,4.48E+00,1.96E-02,0.044677276,0.438453106,0.075163,-2.280745617,VA1vsMock_24hpi
OR10J3,F03,8.789068506,7.65E+00,2.26E-03,0.004981856,0.453769813,0.25435,-2.203760522,VA1vsMock_24hpi
PARP1,F04,3.96437924,2.90E+00,6.41E-02,0.134289545,0.477046519,0.062539,-2.096231625,VA1vsMock_24hpi
PARP2,F05,4.473070917,3.35E+00,4.50E-02,0.098341913,0.457860133,0.042449,-2.184073099,VA1vsMock_24hpi
PIK3C3,F06,4.715095885,4.11E+00,3.81E-02,0.057868861,0.657914975,0.117761,-1.519953244,VA1vsMock_24hpi
PVR,F07,5.550551137,4.56E+00,2.13E-02,0.042352857,0.503773014,0.099088,-1.985020974,VA1vsMock_24hpi
RAB25,F08,8.002359797,7.46E+00,3.90E-03,0.00566563,0.688337505,0.420774,-1.452775699,VA1vsMock_24hpi
RPS6KB1,F09,4.474351607,3.59E+00,4.50E-02,0.083073838,0.541528954,0.168533,-1.846623329,VA1vsMock_24hpi
S100A7A,F10,8.515576742,6.64E+00,2.73E-03,0.01001982,0.272706865,0.154162,-3.666941051,VA1vsMock_24hpi
SNCA,F11,4.420577631,3.95E+00,4.67E-02,0.064615955,0.722659588,0.533218,-1.383777392,VA1vsMock_24hpi
SPATA2,F12,6.856735511,5.63E+00,8.63E-03,0.020239164,0.426308865,0.009348,-2.345717113,VA1vsMock_24hpi
SQSTM1,G01,0.097056162,5.40E-02,9.35E-01,0.963282388,0.970576036,0.806535,-1.030315981,VA1vsMock_24hpi
SYCP2,G02,6.875256212,6.58E+00,8.52E-03,0.010460027,0.814345747,0.186155,-1.227979644,VA1vsMock_24hpi
TMEM57,G03,4.645648961,4.16E+00,4.00E-02,0.055886193,0.714851425,0.426378,-1.398892084,VA1vsMock_24hpi
TNF,G04,8.930273243,7.65E+00,2.05E-03,0.004981856,0.411461059,0.235063,-2.430363646,VA1vsMock_24hpi
TNFRSF10A,G05,8.460236413,7.65E+00,2.84E-03,0.004981856,0.569933158,0.3609,-1.754591719,VA1vsMock_24hpi
TNFRSF11B,G06,8.930273243,7.65E+00,2.05E-03,0.004981856,0.411461059,0.235063,-2.430363646,VA1vsMock_24hpi
TNFRSF1A,G07,4.890690171,4.14E+00,3.37E-02,0.056557879,0.596022211,0.304101,-1.677789824,VA1vsMock_24hpi
TP53,G08,3.42616509,2.21E+00,9.30E-02,0.215575724,0.431540624,0.128853,-2.31727894,VA1vsMock_24hpi
TRAF2,G09,6.42124344,5.08E+00,1.17E-02,0.029514629,0.395344582,0.284284,-2.529438989,VA1vsMock_24hpi
TXNL4B,G10,5.556691299,4.26E+00,2.12E-02,0.052047602,0.40819579,0.138056,-2.449804785,VA1vsMock_24hpi
ULK1,G11,5.422897723,3.97E+00,2.33E-02,0.064010465,0.364161595,0.16447,-2.746033665,VA1vsMock_24hpi
XIAP,G12,4.742092531,3.76E+00,3.74E-02,0.073577518,0.507858553,0.014206,-1.969052199,VA1vsMock_24hpi
ACTB,H01,-2.797236555,-3.10E+00,6.95E+00,8.584546751,0.809719761,0.13937,-1.234995178,VA1vsMock_24hpi
B2M,H02,-1.710641335,3.84E-01,3.27E+00,0.766298141,4.271265636,0.003972,4.271265636,VA1vsMock_24hpi
GAPDH,H03,-0.204282836,-9.69E-01,1.15E+00,1.958052344,0.588397696,0.091866,-1.699530788,VA1vsMock_24hpi
HPRT1,H04,6.004802608,6.23E+00,1.56E-02,0.013325469,1.168669742,0.796278,1.168669742,VA1vsMock_24hpi
RPLP0,H05,-1.292641882,-2.542530892,2.449762487,5.826101726,0.420480555,0.030511713,-2.37823126,VA1vsMock_24hpi